Auction type,Object Types,External Reference Colour,Language,Shipping Country Name,Shipping Country Code,D: Brand,D: Model,D: Period,D: Movement,D: Case material,D: Case diameter,D: Condition,D: Gender,D: Band material,D: Band length,D: Dial colour,D: Weight,D: Width lug/ watch band
Antique Furniture,Automaton pocket watch,Gray,English,Austria,at,5.11 Tactical,21 Chronoscaph,1850-1900,Automatic,Aluminium,Less than 20 mm,Fair - major signs of wear,Men,Bronze,Very short (under 160 mm),Black,x_g,x_in
Antique Religious Decor,Chronograph pocket watch,Blue,Dutch,Belgium,be,88 Rue du Rhone,1966,1900-1949,Manual winding,Argentan,20 mm,Good - visible signs of wear,Unisex,Ceramic,Short (160–170 mm),Blue,x_kg,x_ft
Art Nouveau & Art Deco Furniture,Chronograph watch,Green,French,Bulgaria,bg,A. Lange & Söhne,2000 Series,1950-1959,Other,Bioceramic,21 mm,New,Women,Gold/steel,Regular (180–200 mm),Bronze,x_t,x_yd
Automobilia,Digital watch,Orange,German,Switzerland,ch,A.Mantei,Admiral,1960-1969,Quartz,Bronze,22 mm,Unworn - no signs of wear,,Leather,Long (over 200 mm),Brown,x_oz,x_mi
Automobilia Art & Posters,Erotic pocket watch,Red,Italian,Czech Republic,cz,Accurist,Admiral's Cup,1970-1979,,Carbon,23 mm,Very good - minor signs of wear,,Platinum,,Champagne,x_lb,x_mm
Automobilia Car Parts,Marriage watch,,Spanish,Germany,de,Accutron,Aerospace,1980-1989,,Ceramic,24 mm,,,Resin,,Gold,x_st,x_cm
Automobilia Literature,Mechanical watch,,Portuguese,Denmark,dk,Aerowatch,Aikon Tide,1990-1999,,Chromed,25 mm,,,Rose gold,,Green,,x_m
Automobilia Signs & Lightboxes,Pocket watch,,Polish,Estonia,ee,Alain Silberstein,Aion,2000-2010,,Copper,26 mm,,,Rubber,,Grey,,
Aviation,Smart watch,,,Spain,es,Alba,Air Constellation Automatic,2010-2020,,Gold,27 mm,,,Steel,,Mother of pearl,,
Boho Chic,Stopwatch,,,Finland,fi,Alfred Dunhill,Air-King,2020+,,Gold/Steel,28 mm,,,Textile,,Navy,,
Bonsai Trees,Watch,,,France,fr,Alpha Sierra,Alpine Eagle,Earlier than 1850,,Gold-filled,29 mm,,,Titanium,,Orange,,
Breitling Watches,,,,Greece,gr,Alpina,Altiplano,,,Gold-plated,30 mm,,,White gold,,Pink,,
Cartier Watches,,,,Croatia,hr,Altanus,Amvox,,,Gunmetal,31 mm,,,Yellow gold,,Purple,,
Christmas Decor,,,,Hungary,hu,Alviero Martini 1a Classe,Aquanaut,,,Metal,32 mm,,,,,Red,,
Classic Home Decor,,,,Ireland,ie,Ancre,Aquaracer,,,Palladium,33 mm,,,,,Salmon,,
Clocks,,,,Iceland,is,Android,Aquaracer 300M,,,Pink gold,34 mm,,,,,Silver,,
Comic Figurines & Merchandise,,,,Italy,it,Angelus,Aquaracer 500M,,,Plastic,35 mm,,,,,Skeleton,,
Comics (Private Collection),,,,Liechtenstein,li,Anonimo,Aquaracer Calibre 5,,,Platinum,36 mm,,,,,Turquoise,,
Comics (Risqué),,,,Lithuania,lt,Antoine Nicolas 1986,Aquaracer Professional,,,Polycarbon,37 mm,,,,,White,,
Comics in Dutch,,,,Luxembourg,lu,Antoine Preziuso,Aquatimer,,,Silver,38 mm,,,,,Yellow,,
Comics in French,,,,Latvia,lv,Apple,Aquis,,,Silverplated,39 mm,,,,,,,
Comics in Italian,,,,Monaco,mc,Aquanautic,Arceau,,,Stainless steel,40 mm,,,,,,,
Contemporary Design,,,,Malta,mt,Aquastar,Artelier,,,Steel,41 mm,,,,,,,
Decorative Salvage,,,,The Netherlands,nl,Aquaswiss,Artelier Date Diamonds Automatic,,,Tantalum,42 mm,,,,,,,
Designer Furniture,,,,Norway,no,Archimede,Astron,,,Titanium,43 mm,,,,,,,
Disney Animation,,,,Poland,pl,Arctos,Audi Sport,,,Tungsten,44 mm,,,,,,,
Disney Comic Art,,,,Portugal,pt,Ardath,Autavia,,,White gold,45 mm,,,,,,,
Disney Figures & Merchandise,,,,Romania,ro,Aristo,"Automatic ""NobleTime""",,,Yellow gold,46 mm,,,,,,,
English Country House,,,,Sweden,se,Armand Nicolet,Automatic Super Titanium,,,,47 mm,,,,,,,
Exclusive Antiques,,,,Slovenia,si,Armida,Aviator 8,,,,48 mm,,,,,,,
Exclusive Art Nouveau & Art Deco,,,,Slovak Republic,sk,Armin Strom,B.Zero1,,,,49 mm,,,,,,,
Exclusive Automobilia,,,,San Marino,sm,Armitron,BR 01,,,,50 mm,,,,,,,
Exclusive Design,,,,Cyprus,cy,Arnold & Son,BR 02,,,,Greater than 50 mm,,,,,,,
Exclusive Watches,,,,Canary Islands,ic,Aspen Jewelry & Watches,BR 03,,,,,,,,,,,
Ferrari Automobilia,,,,United Kingdom,gb,Astronic,BR 05,,,,,,,,,,,
French Elegance,,,,United States,us,Atlantic,BR V1,,,,,,,,,,,
Garden Furniture & Decorations,,,,China,cn,Audemars Piguet,BR V2,,,,,,,,,,,
Hergé / Tintin Comic Books,,,,Hong Kong,hk,Auguste Reymond,Baignoire,,,,,,,,,,,
Hergé / Tintin Figures & Merchandise,,,,Israel,il,Auricoste,Ballon Bleu,,,,,,,,,,,
Hollywood Glamour,,,,Japan,jp,Automatic,Bentley,,,,,,,,,,,
Home Inspiration & Trends,,,,"Macao, China",mo,B.R.M.,Big Bang,,,,,,,,,,,
IWC Watches,,,,Singapore,sg,BALL,Big Bang King,,,,,,,,,,,
Industrial Design,,,,Türkiye,tr,BMW,Big Crown,,,,,,,,,,,
International Comics,,,,Taiwan,tw,BWC-Swiss,Big Crown Pointer Date,,,,,,,,,,,
Japanese Figurines & Merchandise,,,,,,Badollet,Big Crown ProPilot,,,,,,,,,,,
Longines Watches,,,,,,Balmain,Black Bay,,,,,,,,,,,
Mediterranean House,,,,,,Barthelay,Black Bay 58,,,,,,,,,,,
Modern Home Decor,,,,,,Baume & Mercier,Black Bay Gmt,,,,,,,,,,,
Motobilia,,,,,,Bausele,Black Croco,,,,,,,,,,,
New Seller Watches,,,,,,Bedat & Co.,Bubble,,,,,,,,,,,
Omega Watches,,,,,,Bell & Ross,CO-1 Chronograph,,,,,,,,,,,
Pocket Watches,,,,,,Benrus,Calatrava,,,,,,,,,,,
Porsche Automobilia,,,,,,Bernhard H. Mayer,Calculator,,,,,,,,,,,
Premium Watches,,,,,,Bertolucci,Calibre de Cartier,,,,,,,,,,,
Religious Decor,,,,,,Beuchat,Calibre de Cartier Diver,,,,,,,,,,,
Rolex Watches,,,,,,Bifora,Cape Cod,,,,,,,,,,,
Seiko Watches,,,,,,Blancpain,Capeland,,,,,,,,,,,
TAG Heuer Watches,,,,,,Boccia,Carbongold,,,,,,,,,,,
Tudor Watches,,,,,,Boegli,Carrera,,,,,,,,,,,
US Comics,,,,,,Bombardier,Carrera Calibre 5,,,,,,,,,,,
Unused Watches,,,,,,Bomberg,Carrera Calibre 6,,,,,,,,,,,
Vintage Furniture,,,,,,Boucheron,Carrera Calibre 16,,,,,,,,,,,
Vintage Watches,,,,,,Bovet,Carrera Calibre 1887,,,,,,,,,,,
Watch Accessories,,,,,,Braun,Carrera Calibre Heuer 01,,,,,,,,,,,
Zenith Watches,,,,,,Breguet,Carrera Calibre Heuer 02,,,,,,,,,,,
,,,,,,Breil,Carrera Chronograph,,,,,,,,,,,
,,,,,,Breitling,Carrera Lady,,,,,,,,,,,
,,,,,,Bremont,Casablanca,,,,,,,,,,,
,,,,,,Bruno Söhnle,Cellini,,,,,,,,,,,
,,,,,,Bucherer,Chemin Des Tourelles Powermatic 80,,,,,,,,,,,
,,,,,,Buler,Chrono-Matic,,,,,,,,,,,
,,,,,,Bulova,Chrono Orbs,,,,,,,,,,,
,,,,,,Bunz,Chrono Round,,,,,,,,,,,
,,,,,,Burberry,Chronofighter,,,,,,,,,,,
,,,,,,Buren,"Chronograph 100M ""Chronosphere""",,,,,,,,,,,
,,,,,,Bvlgari,Chronoliner,,,,,,,,,,,
,,,,,,CCCP,Chronomat,,,,,,,,,,,
,,,,,,CT Scuderia,Chronomat B01,,,,,,,,,,,
,,,,,,CWC,Chronomat Blackbird,,,,,,,,,,,
,,,,,,Cabestan,Chronomat Evolution,,,,,,,,,,,
,,,,,,Cadola,Chronomat Vitesse,,,,,,,,,,,
,,,,,,Camy,Chronoracer Rattrapante,,,,,,,,,,,
,,,,,,Candino,Cintrée Curvex,,,,,,,,,,,
,,,,,,Caravelle,Class,,,,,,,,,,,
,,,,,,Carl F. Bucherer,Classic Chronograph,,,,,,,,,,,
,,,,,,Cartier,Classic Date Automatic,,,,,,,,,,,
,,,,,,Casio,Classic Fusion,,,,,,,,,,,
,,,,,,Catena,Classics,,,,,,,,,,,
,,,,,,Cattin,Classics Art Deco,,,,,,,,,,,
,,,,,,Cerruti,Classics Carrée,,,,,,,,,,,
,,,,,,Certina,Classics Delight,,,,,,,,,,,
,,,,,,Chanel,Classics GMT,,,,,,,,,,,
